region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,pct_gt25,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,psr_fraction,dist_to_psr_km,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
24475,-2316.0357142857174,-35609.5,0.0875,35.6852,8.6985,3.7319,22.0511,0.0,6.3536,1.7996,-1858.6171,1.0,0.014286,0.0,0.912,0.2492,0.035714,1.0,QUALIFIED
24503,-3621.455882352937,-35513.5294117647,1.0625,35.6981,7.1496,4.8475,25.6545,0.0006,5.8979,3.8377,-1817.017,1.0,0.0,0.838153,0.9933,0.0628,0.0,1.0,QUALIFIED
24524,-1259.149789029536,-35515.53375527426,0.29625,35.5383,7.1316,3.9316,20.3223,0.0,5.9348,2.7931,-1824.6123,1.0,0.048523,0.0,0.7162,0.4151,1.0,1.0,QUALIFIED
24529,-2900.7659574468125,-35834.207446808505,0.1175,35.9519,5.3276,2.6444,13.9529,0.0,3.7881,1.4529,-1849.2849,1.0,0.0,0.548862,1.0,0.0,0.0,1.0,QUALIFIED
24546,24977.02808988764,-35893.32022471911,0.166875,43.7292,8.6292,3.5487,28.5196,0.0037,7.363,1.5925,-896.1658,1.0,0.0,11.050028,1.0,0.0,1.0,1.0,QUALIFIED
24547,-23245.514245014245,-35733.18945868946,0.219375,42.6289,7.3069,3.3228,14.488,0.0,6.3765,2.6601,-5668.9969,1.0,0.424501,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24560,24384.2667638484,-35916.62827988337,0.214375,43.4126,7.7359,3.9181,18.0149,0.0,6.2984,2.6128,-935.353,1.0,0.0,10.375271,1.0,0.0,1.0,1.0,QUALIFIED
24584,-26554.84065934065,-35861.58791208791,0.284375,44.6231,4.9453,3.9911,22.3437,0.0,4.2893,3.1195,-5760.1505,1.0,0.47033,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24603,-2588.892857142855,-36014.5,0.0875,36.1079,4.4651,2.1218,10.6717,0.0,3.6404,0.6964,-1848.9417,1.0,0.0,0.190394,0.9749,0.1339,0.25,1.0,QUALIFIED
24699,21619.954545454544,-36365.57142857144,0.09625,42.3076,7.8894,3.0256,15.7795,0.0,6.4784,1.352,-655.8974,1.0,0.0,7.816009,0.1873,0.3361,1.0,1.0,QUALIFIED
24716,23940.474145891043,-36237.24238227148,0.676875,43.4321,7.2587,2.7669,22.2227,0.0,6.051,1.8199,-897.9549,1.0,0.0,9.720114,1.0,0.0,1.0,1.0,QUALIFIED
24747,26298.78571428571,-36484.142857142855,0.0875,44.9753,6.2949,2.6238,13.3949,0.0,5.6174,1.3655,-676.6734,1.0,0.0,12.566821,1.0,0.0,1.0,1.0,QUALIFIED
24756,18301.29324894515,-36312.9493670886,0.29625,40.6648,9.5713,3.8687,20.807,0.0,8.689,2.9988,-1495.0597,1.0,0.0,4.425,0.9914,0.0761,0.0,1.0,QUALIFIED
24758,-332.170822942644,-36603.365336658346,0.50125,36.6054,5.8675,3.792,24.8207,0.0,4.7527,2.1743,-1835.1017,1.0,0.026185,0.0,0.9602,0.157,1.0,1.0,QUALIFIED
24763,-2509.3095238095266,-36476.59523809524,0.328125,36.5633,7.7296,3.8169,21.1857,0.0,6.2453,2.4803,-1842.4706,1.0,0.03619,0.0,0.9838,0.0997,0.95619,1.0,QUALIFIED
24772,22149.482782369145,-36616.907024793385,0.9075,42.7955,9.0384,4.4816,25.7245,0.0007,7.8233,3.45,-694.4392,1.0,0.0,7.761644,0.3394,0.4295,1.0,1.0,QUALIFIED
24779,-1260.3277212216126,-36525.30266249021,0.798125,36.5475,6.3322,3.516,24.317,0.0,4.8048,2.0119,-1854.7563,1.0,0.042287,0.0,0.9508,0.1795,1.0,1.0,QUALIFIED
24802,-21384.7039800995,-36813.74129353234,0.25125,42.5743,6.6985,3.3362,20.6108,0.0,6.0355,2.3481,-5662.7394,1.0,0.124378,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24813,24813.64772727272,-36531.545454545456,0.275,44.1626,4.8515,2.9588,15.5734,0.0,4.0341,1.8293,-906.4808,1.0,0.0,10.908282,1.0,0.0,1.0,1.0,QUALIFIED
